,femur,tibia
500,13,1
501,763,432
502,220,140
503,0,12
504,1,6
505,5,0
506,703,0
507,242,6
508,234,597
509,4,0
510,2,0
511,75,2
512,140,9
513,259,233
514,5,9
515,5,0
516,663,5749
517,1762,8851
518,394,61
519,0,73
520,617,1061
521,0,6
522,18,1
523,457,2
524,145,29
525,379,2
526,0,0
527,6976,10118
528,6698,6279
529,25,2597
530,136,0
531,277,386
532,1666,15
533,222,991
534,6068,14633
535,7417,12671
536,2183,5466
537,4930,9353
538,2,514
539,71,2740
540,218,0
541,16,117
542,146,197
543,1,25
544,1,1
545,2,0
546,7,47
547,5,134
548,0,7363
549,548,151
550,5,1340
551,0,1
552,2704,4123
553,15,53
554,8,547
555,2,630
556,0,0
557,1,2
558,9,3
559,2742,1124
560,166,249
561,103,149
562,10,35
563,60,4043
564,9,53
565,264,1024
566,49,1208
567,0,5
568,0,0
569,3,4
570,0,1
571,6,5
572,0,1
573,10,6
574,3,107
575,0,13
576,3,0
577,1,14
578,1487,2467
579,0,0
580,10907,13199
581,1,11
582,0,2
583,0,2
584,4,842
585,6,2
586,476,3
587,1961,225
588,2183,347
589,3,3
590,440,2
591,1,20
592,60,20
593,318,33
594,1,0
595,1,1
596,6,286
597,0,156
598,16,442
599,3,4797
600,0,202
601,21,6
602,3,10
603,5,4
604,2,24
605,7,714
606,0,414
607,1,2
608,88,603
609,369,59
610,307,116
611,63,672
612,64,1
613,1076,0
614,2296,5
615,2727,2
616,2,0
617,4,0
618,155,557
619,284,3051
620,0,9
621,690,1768
622,4,465
623,8296,8
624,11,1110
625,0,0
626,0,0
627,0,10
628,4,1
629,1,1
630,5,11
631,0,68
632,1,889
633,49,1
634,10,60
635,2,0
636,0,8
637,0,1
638,101,56
639,2,96
640,116,3
641,11,2
642,1906,1
643,2842,2679
644,5,0
645,0,0
646,11,0
647,302,33
648,7,375
649,396,2247
650,263,0
651,0,91
652,24,7
653,4,8
654,24,200
655,21,580
656,2,5
657,4,3
658,6,15
659,72,2414
660,3,13
661,1,2
662,1,3
663,1,187
664,33,18
665,3,4463
666,39,4399
667,87,513
668,529,1409
669,3,4
670,4,2
671,4,0
672,50,9
673,96,3
674,12,51
675,160,1
676,4,6065
677,2,2
678,3,13
679,11,0
680,10,6
681,13,2
682,0,0
683,3,0
684,11,0
685,665,118
686,178,1216
687,19,46
688,1,0
689,3,16
690,164,2
691,6,0
692,0,6
693,0,53
694,214,2262
695,1539,3394
696,1259,6568
697,7,14
698,1,14
699,19,38
700,176,864
701,161,2
702,0,26
703,180,4
704,77,2
705,0,5
706,8,7
707,1,21
708,1,489
709,70,1939
710,3,124
711,1881,3151
712,468,1602
713,874,8183
714,816,572
715,2652,72
716,150,703
717,134,52
718,5,35
719,0,1054
720,2,2140
721,0,0
722,0,0
723,0,0
724,11,85
725,106,690
726,96,2
727,14169,16
728,13858,8823
729,16333,8803
730,933,11520
731,1,8
732,4,89
733,41,56
734,0,2
735,0,516
736,499,677
737,11,10
738,1,9
739,23,0
740,19,0
741,0,5
742,1,2
743,10,0
744,45,28
745,1302,131
746,417,492
747,32,901
748,8784,1136
749,0,0
750,0,1
751,0,5
752,613,3
753,191,3513
754,0,13
755,254,3466
756,1311,702
757,2,1667
758,1,163
759,1,1095
760,15,134
761,300,910
762,0,57
763,1,5
764,6,25
765,0,281
766,0,0
767,226,75
768,250,9852
769,2594,9659
770,2,240
771,2,108
772,5,246
773,0,4
774,3660,2
775,538,1085
776,460,1411
777,10,899
778,117,1372
779,3474,8008
780,14,2011
781,2448,4260
782,385,0
783,36,19
784,8,8
785,456,76
786,187,135
787,1379,645
788,7,750
789,87,576
790,7,86
791,0,39
792,182,3
793,1757,5
794,318,49
795,5,11
796,16,175
797,22,15
798,7,4
799,5,355
800,0,3
801,826,2260
802,609,1048
803,1,10
804,139,22780
805,158,5706
806,39,3656
807,121,175
808,0,1134
809,0,29
810,18,194
811,2,4
812,7,180
813,2498,98
814,6,2
815,6,17
816,9,16
817,192,2505
818,42,19
819,3735,0
820,0,12
821,2272,570
822,2308,1029
823,29,15
824,52,0
825,7,5
826,231,76
827,16,0
828,12,11
829,4,109
830,6,264
831,9,2210
832,281,164
833,5,11
834,3,1
835,4,6
836,2,6
837,1,29
838,2,32
839,0,48
840,175,313
841,15,1
842,10,705
843,13,0
844,311,2416
845,1376,3172
846,2,0
847,317,42
848,3,0
849,5,3
850,3,0
851,343,23
852,846,303
853,725,6
854,729,4
855,6,4
856,1,0
857,4,183
858,12,22
859,353,2199
860,12,30
861,5,1
862,8,3
863,58,2
864,5,2
865,65,141
866,5060,957
867,688,3679
868,8,1
869,7564,20102
870,2,22
871,7,1349
872,800,3501
873,1,0
874,24,8
875,0,40
876,0,5
877,3,0
878,2,10
879,0,65
880,0,1
881,1,2
882,43,76
883,3,5
884,6,31
885,4,55
886,0,6
887,282,2
888,1,21
889,1,94
890,2,144
891,75,1948
892,6,2
893,105,124
894,243,1606
895,176,385
896,0,0
897,36,11
898,13,0
899,4,2
900,269,290
901,1,4
902,138,99
903,105,102
904,30,318
905,20,382
906,0,1
907,154,306
908,563,858
909,7,1
910,0,9
911,1,25
912,9,1
913,1,0
914,0,0
915,5,7
916,255,355
917,1,35
918,49,580
919,21,904
920,123,945
921,1002,2308
922,385,2364
923,1379,971
924,12,489
925,0,3
926,119,4
927,4,188
928,44,6
929,673,394
930,53,33
931,18,264
932,6,31
933,274,1259
934,1,883
935,1,1
936,3,285
937,6,71
938,5359,2706
939,17406,8160
940,21,2905
941,0,0
942,14,1195
943,1528,39
944,1012,857
945,2418,3314
946,1129,2899
947,1,1344
948,3,645
949,133,415
950,1580,2053
951,1690,840
952,0,3
953,1,25
954,0,0
955,2,30
956,1,20
957,6,132
958,17,14
959,0,14
960,121,5233
961,1,1866
962,1,2
963,0,0
964,3,22
965,0,61
966,6,50
967,56,242
968,248,349
969,246,75
970,15,728
971,41,0
972,29,1168
973,4,23
974,3658,1136
975,1340,2844
976,447,337
977,747,1328
978,5,87
979,7,225
980,10,515
981,12,196
982,1,0
983,505,24
984,0,7
985,0,0
986,0,64
987,4,0
988,30,0
989,199,2
990,564,214
991,21,905
992,82,280
993,2,18
994,1850,5787
995,165,6
996,65,76
997,248,1319
998,130,1268
999,1229,111
1000,1,1
1001,12,18
1002,3,34
1003,604,2793
1004,11324,4841
1005,3275,2975
1006,977,5799
1007,393,2965
1008,1,3
1009,1,304
1010,582,0
1011,33,2
1012,13,647
1013,6760,5682
1014,50,422
1015,3356,5440
1016,2,0
1017,7,76
1018,88,28
1019,24,1
1020,35,0
1021,16796,151
1022,33246,3712
1023,0,18
1024,12,5495
1025,507,4443
1026,1388,10
1027,1033,289
1028,46,1158
1029,74,995
1030,0,1
1031,5,17
1032,18,9
1033,0,3729
1034,888,3290
1035,346,166
1036,1,0
1037,79,67
1038,406,2826
1039,35,61
1040,255,7028
1041,42,406
1042,0,451
1043,3196,591
1044,1420,9087
1045,1524,1090
1046,0,2
1047,18,4
1048,0,1
1049,11,27
1050,1826,3045
1051,3422,8123
1052,5,3
1053,167,901
1054,27,20
1055,346,10
1056,77,766
1057,3405,10162
1058,1006,1162
1059,0,4
1060,71,9
1061,16,37
1062,275,2150
1063,2014,2
1064,3,299
1065,3735,1699
1066,0,0
1067,77,2
1068,58,284
1069,2,279
1070,2,43
1071,3,184
1072,6,0
1073,12,20
1074,4,0
1075,1411,601
1076,2,122
1077,1292,1341
1078,146,8
1079,0,4
1080,0,2
1081,4,47
1082,1210,606
1083,274,590
1084,1120,910
1085,1351,4050
1086,7773,1035
1087,1639,1756
1088,2,0
1089,10,1
1090,16,0
1091,14,85
1092,858,322
1093,846,368
1094,845,3511
1095,0,0
1096,8,12
1097,174,45
1098,1,0
1099,4,5
1100,91,4161
1101,350,1274
1102,0,2
1103,1,0
1104,60,113
1105,1511,93
1106,3,8
1107,0,6
1108,270,1141
1109,0,0
1110,0,0
1111,1,2
1112,7,0
1113,310,1
1114,124,3
1115,500,180
1116,5,4
1117,0,981
1118,22,295
1119,130,647
1120,0,9
1121,1,82
1122,3478,4670
1123,426,92
1124,1,158
1125,0,0
1126,7,1
1127,7018,11502
1128,0,108
1129,1,211
1130,2236,604
1131,9,3
1132,4,3
1133,7,25
1134,10,10
1135,1,0
1136,1014,302
1137,3,0
1138,1,28
1139,0,1
1140,9,380
1141,0,194
1142,3,865
1143,348,52
1144,5,2
1145,313,2
1146,205,764
1147,150,6784
1148,2073,3217
1149,25,5
1150,611,0
1151,891,604
1152,1223,1482
1153,592,161
1154,27,55
1155,11,2
1156,787,41
1157,3,0
1158,203,33
1159,4,1664
1160,0,0
1161,1,1
1162,41,1
1163,25,0
1164,131,4
1165,1,44
1166,18,35
1167,32,4024
1168,11,18
1169,42,1
1170,0,3044
1171,0,1181
1172,2099,13371
1173,556,297
1174,218,471
1175,0,1807
1176,89,207
1177,0,4
1178,786,1829
1179,713,480
1180,0,383
1181,9,911
1182,0,45
1183,477,1898
1184,4264,3906
1185,1,4
1186,272,1857
1187,4,43
1188,101,34
1189,14,2
1190,1,0
1191,2,79
