,femur,tibia
2036,273,548
2037,0,0
2038,0,0
2039,4,2
2040,185,597
2041,5,3
2042,0,8
2043,4,8
2044,832,235
2045,4,2022
2046,30,4693
2047,194,5
2048,749,169
2049,1637,7
2050,3,1
2051,1,417
2052,8,4
2053,81056,17207
2054,0,3
2055,26,1
2056,109,1035
2057,3,1777
2058,14,1473
2059,304,791
2060,472,2044
2061,3,43
2062,811,7
2063,3,2
2064,2,3
2065,20,93
2066,2038,288
2067,2310,361
2068,2420,16
2069,1944,896
2070,100,4
2071,2510,221
2072,2040,0
2073,3,8
2074,1,1
2075,1,3
2076,10,1
2077,154,9
2078,10,45
2079,3572,9398
2080,2824,9756
2081,260,166
2082,93,185
2083,1,2
2084,0,0
2085,3,25
2086,260,794
2087,199,1399
2088,2835,314
2089,2,112
2090,1,60
2091,12,12
2092,70,6
2093,2232,2888
2094,4,6
2095,134,6
2096,9,491
2097,567,9
2098,7,233
2099,378,1002
2100,152,219
2101,1,3
2102,77,95
2103,152,25
2104,10,12
2105,78,2623
2106,3,145
2107,22,4
2108,4703,9911
2109,2,2
2110,46,6
2111,1,0
2112,55,2
2113,0,5753
2114,4792,17170
2115,96,141
2116,122,396
2117,23321,8311
2118,29803,10608
2119,0,3268
2120,8,1155
2121,7,0
2122,15,19
2123,3,8
2124,93,56
2125,14,7
2126,0,66
2127,1,9
2128,1,646
2129,23,183
2130,1362,646
2131,1,92
2132,12,555
2133,3,21
2134,1,1048
2135,435,1346
2136,0,0
2137,3,2
2138,1,479
2139,0,358
2140,3,504
2141,144,0
2142,687,0
2143,789,237
2144,374,6191
2145,2,1
2146,14,1610
2147,5,0
2148,2,141
2149,0,10
2150,16,624
2151,1,1013
2152,9,255
2153,317,19
2154,107,262
2155,85,103
2156,1172,3258
2157,7036,3651
2158,2,22
2159,14,9
2160,38,90
2161,21,4
2162,0,1
2163,15,0
2164,8,101
2165,118,11
2166,0,0
2167,71,335
2168,42,305
2169,1,1
2170,128,0
2171,0,14
2172,139,44
2173,385,473
2174,13,50
2175,4,0
2176,0,2
2177,696,9
2178,2104,282
2179,866,2108
2180,9,157
2181,25,16
2182,189,25
2183,217,446
2184,0,11
2185,4,523
2186,21,3
2187,36,0
2188,7,0
2189,159,301
2190,274,1477
2191,703,2439
2192,0,598
2193,6,37
2194,233,1
2195,21,1474
2196,647,583
2197,2,0
2198,2239,12317
2199,8016,14637
2200,0,2
2201,2,1
2202,21,193
2203,122,537
2204,1938,692
2205,9,175
2206,47,1663
2207,1041,7601
2208,7,1633
2209,328,1513
2210,22,103
2211,2,1
2212,9,4
2213,3,3
2214,1,2
2215,8,0
2216,0,1
2217,4588,10257
2218,3431,8634
2219,4619,17798
2220,6,7
2221,44,345
2222,328,206
2223,35,2842
2224,96,104
