,0,1,2
295,2847,533,2783
296,1985,3969,1312
297,8390,28515,10798
298,3969,5152,12604
299,3087,4632,7701
300,6124,8369,16033
301,220,1197,1905
302,52134,5638,14745
303,5564,6945,7994
304,464,1258,2731
305,1402,2811,1695
306,3921,408,6842
307,3871,3418,983
308,1078,1482,3897
309,390,582,8038
310,4661,18916,20407
311,9029,4224,2073
312,1611,1062,9687
313,2900,3360,8114
314,4929,2933,5736
315,1747,3702,5946
316,2916,12418,16680
317,2618,2023,1094
318,3654,988,5555
319,4145,1142,4480
320,5586,3781,5587
321,9604,14249,28972
322,486,2711,2304
323,12826,5579,7335
324,4212,6801,4125
325,8602,7148,10948
326,7761,2968,2057
327,16790,5638,5198
328,9632,4677,2440
329,22621,5934,8026
330,9855,9181,4262
331,6588,910,2678
332,1470,4552,3965
333,3393,5673,11165
334,2664,1919,3883
335,1654,3602,3918
336,4298,6307,154
337,3918,3295,8272
338,3610,1777,450
339,3003,2444,2227
340,934,3074,2590
341,2188,2641,2419
342,18272,7781,19440
343,2427,3580,12339
344,5371,2773,6634
345,3935,1828,2141
346,11561,6182,4687
347,12202,5048,2623
348,14003,5260,5410
349,10853,12480,10115
350,29507,45656,14051
351,14334,36222,4185
352,23924,11246,6508
353,7058,8276,4888
354,748,1066,544
355,3609,7840,3322
356,3836,2849,3252
357,11276,4193,16801
358,22136,5050,11751
359,4101,2413,3814
360,33377,3858,6696
361,8967,4857,7556
362,1643,1877,349
363,1115,2159,856
364,1984,3048,1537
365,1100,2586,2041
366,400,1911,3724
367,955,2044,1824
368,777,470,1550
369,516,1851,1686
370,6128,10896,5469
371,2035,2010,1834
372,4312,2595,10829
373,4408,6450,4090
374,334,907,3554
375,4638,1021,2324
376,2189,1999,6786
377,3159,4297,6583
378,7903,11612,10777
379,5401,9131,15197
380,4751,5699,5009
381,4240,7449,8419
382,8078,9256,8712
383,7628,14110,23098
384,2819,3259,1266
385,11438,1881,2026
386,888,2514,2303
387,7490,9711,6785
388,5659,4824,2666
389,2718,3032,2620
390,1724,7234,3537
391,2881,5780,4147
392,11945,3780,5167
393,6745,3825,5634
394,15450,4464,5913
395,8653,2177,2541
396,7810,1436,2177
397,2087,1565,2937
398,1863,3127,1394
399,15104,4487,5368
400,3173,4200,2076
401,1853,651,1360
402,4853,6454,6475
403,1909,2754,2474
404,2688,11432,5191
405,2016,4284,6483
406,9506,9923,34230
407,5838,5023,2411
408,10403,6111,1772
409,10570,7331,7302
410,1351,2621,5485
411,759,1238,7080
412,6768,5766,9475
413,4612,1029,2510
414,15508,17281,16768
415,5757,2066,5523
416,11239,3221,8256
417,5935,9030,9100
418,4796,2079,1604
419,4569,16770,14952
420,3230,5124,3235
421,405,789,1645
422,3434,3793,2929
423,1082,3802,3281
424,2680,2277,2096
425,1234,2980,1377
426,3236,3408,488
427,14582,11002,9942
428,3198,3477,1823
429,4031,4351,2943
430,2319,5892,5445
431,1470,2736,998
432,9479,7946,3226
433,2913,6327,5283
434,3978,5375,3190
435,54,168,2656
436,4805,2662,4344
437,15540,12420,8288
438,2427,4435,1097
439,5600,3733,4146
440,626,2960,2047
441,10644,21634,2916
442,3438,9968,6256
443,3399,11758,13367
444,4212,4691,2567
445,5042,6766,5606
446,3629,2489,949
447,3605,2923,1394
448,7086,5409,8601
449,4343,3015,469
450,2729,6247,14412
451,27506,4522,7842
452,2062,1163,167
453,8346,9215,4385
454,5956,2043,6263
455,26960,8570,13984
456,7088,9016,6384
457,3257,5562,3239
