,0,1,2
298,3940,4820,11080
299,3360,4357,6608
300,6775,6301,16457
301,190,871,1678
302,53064,4547,13771
303,5646,6074,8236
304,462,1117,2535
305,1392,2626,1410
306,1157,159,6129
307,3719,3012,774
308,1077,1260,3189
309,213,413,8099
310,3617,17272,21786
311,7598,3092,2053
312,1272,677,9654
313,2841,2906,7935
314,4929,2532,5328
315,1692,2506,5408
316,3386,12468,15480
317,2267,1405,941
318,3807,203,4711
319,4315,469,3273
320,5858,2674,5190
321,10348,12555,28608
322,476,2785,1696
323,14131,3031,7189
324,3724,6256,3342
325,8939,6659,10600
326,8069,2082,1827
327,17218,4482,4943
328,9949,2502,2406
329,23235,2888,7780
330,10496,7283,4271
331,6566,681,1977
332,1488,2494,3215
333,3406,3779,10367
334,2253,1802,3447
335,1602,2026,3615
336,3775,3425,145
337,4537,1858,6823
338,3296,1129,265
339,3041,1409,2031
340,986,2602,2432
341,1850,2146,2221
342,19047,6393,19424
343,1221,2355,8503
344,4220,2184,6109
345,2552,1156,1901
346,12394,4885,4067
347,12020,3887,2012
348,14423,4519,4820
349,11057,10393,11059
350,29053,44578,14398
351,13718,35782,4406
352,25496,8852,5631
353,7344,7608,4432
354,839,647,397
355,3558,7403,3060
356,3058,2421,2150
357,11365,3299,16316
358,22071,3520,11400
359,4517,1238,2633
360,34348,2551,5972
361,10759,2767,7088
362,1326,993,174
363,852,1970,588
364,2231,2541,1268
365,1250,1981,1938
366,197,1275,3271
367,700,768,1351
368,686,334,1280
369,414,1773,1500
370,7487,10631,3820
371,2053,1222,1683
372,3997,2123,10028
373,4593,5856,4028
374,328,553,3288
375,2663,831,2026
376,1302,1063,6097
377,3092,3804,6279
378,7721,10574,10471
379,5299,8237,13948
380,4440,3487,4726
381,4326,6577,8212
382,8073,8785,8350
383,7611,14954,21060
384,1652,1903,1027
385,6661,1446,1866
386,959,1352,2012
387,7754,9811,5774
388,5659,4217,2335
389,2114,2297,2245
390,512,6413,3426
391,2921,5346,2503
392,11752,2384,5124
393,5756,2883,5441
394,13653,2170,5554
395,4880,1929,2293
396,2466,847,1692
397,1459,846,2274
398,1755,2203,1316
399,11830,3225,5184
400,1487,3640,2054
401,1218,462,1068
402,4932,5537,6412
403,1968,1451,2424
404,2676,11894,3854
405,2039,5503,4248
406,10022,8566,34771
407,6568,3397,1925
408,9972,4647,1480
409,5494,5391,7096
410,1675,1907,4816
411,759,1107,6756
412,6659,5163,9341
413,4550,766,2218
414,14926,17395,15909
415,5799,1065,4820
416,11381,2813,7851
417,6249,8238,8788
418,4110,1156,1508
419,1529,18462,15464
420,2829,4758,3086
421,298,407,1036
422,3368,3387,2293
423,1027,2192,3379
424,2657,1909,2002
425,1198,1627,1383
426,2681,2542,394
427,15718,9631,8957
428,3147,2953,1077
429,4248,3488,2493
430,2358,5239,5292
431,1059,1208,468
432,11626,5007,3012
433,2850,5868,4885
434,4304,5260,2332
435,30,75,1444
436,3722,1301,4138
437,14827,12511,7561
438,2437,3052,1218
439,5137,3567,4044
440,379,1715,1967
441,8843,22786,2698
442,3528,10026,5116
443,2724,13548,11245
444,4257,4044,1924
445,4743,6404,5312
446,3426,2160,829
447,3788,1521,1191
448,7100,5017,8143
449,2184,1687,365
450,2802,5486,14486
451,20846,3324,7520
452,2033,535,130
453,8565,7922,3481
454,5357,1605,5805
455,28112,7460,13034
456,7640,7770,5731
457,2829,4093,3266
458,1502,3739,2050
459,2066,335,1510
460,1016,1949,1379
461,17191,8185,4899
462,1182,4996,2252
463,7273,7820,3185
464,1586,2397,2200
465,2335,9000,20587
466,10104,23957,13747
467,1328,2955,2357
468,750,1255,794
469,1465,7126,7886
470,1064,1150,119
471,6287,7593,674
472,966,1259,1211
473,9135,4998,2025
474,8866,5697,1512
475,16583,5603,3316
476,457,9051,14416
477,1090,3599,3687
478,4206,3422,5568
479,597,873,2723
480,2191,4243,3237
481,5130,2413,4370
482,29251,5424,13736
483,3011,4285,7795
484,2904,1195,2179
485,1025,488,1189
486,1837,886,1771
487,1563,3234,4057
488,6112,3328,4317
489,3031,2020,2150
490,12382,9555,3719
491,2136,2873,3141
492,2821,4546,1425
493,3289,4460,1719
494,43613,27535,9575
495,3176,1597,5387
496,3701,2083,10255
497,10940,2727,5435
498,23646,15270,20237
499,12072,11438,8881
500,6239,4092,4408
501,16360,5865,5700
502,481,930,709
503,14564,3193,5660
504,23548,4319,7257
505,619,2676,7739
506,1287,2589,964
507,2557,4204,4108
508,27805,5385,14666
509,92,786,252
510,2567,2785,1798
511,3170,3123,3913
512,2495,8654,600
513,831,461,3191
514,4656,3303,3814
515,10034,4280,7883
516,6658,3907,6376
517,2514,5387,12085
518,239,634,468
519,5810,9131,4257
520,25267,5168,6654
521,34697,3369,3946
522,7899,5637,3901
523,5906,2040,3090
524,4893,1214,10088
525,1463,227,355
526,2982,2462,4440
527,2606,3167,1991
528,11065,8787,4904
529,2735,2701,7698
530,3251,1605,2172
531,9130,6232,9277
532,6082,6461,11628
533,14997,3830,7915
534,139,1053,1973
535,312,2568,8636
536,2521,973,4597
537,4252,2350,3195
538,3937,2975,7112
539,17853,1720,2260
540,1326,283,2900
541,2512,1119,9670
542,1178,2297,11378
543,4644,1129,8387
544,7027,3261,4844
545,8926,3864,5581
546,11128,4475,8165
547,27953,8793,7629
548,15654,7210,6823
549,2803,946,500
550,4598,2580,2559
551,3799,5982,4107
552,7500,3195,5490
553,21794,7575,9315
554,2855,1170,1536
555,4144,989,3410
556,482,542,1143
557,204,2753,5486
558,593,2878,4618
559,2150,2078,1567
560,2444,7988,6689
561,5762,6707,4816
562,7973,9770,13401
563,15813,5897,10254
