,femur,tibia
523,72,0
524,0,373
525,11,279
526,2,2
527,26,112
528,3,98
529,3,13
530,1,0
531,27,1291
532,200,119
533,0,6
534,2,5
535,0,39
536,2,9
537,280,324
538,99,1
539,0,362
540,1,185
541,81,403
542,23,96
543,1,291
544,48,0
545,0,7
546,33,13
547,1,26
548,24,69
549,361,9
550,2,390
551,2,147
552,16,152
553,34,17
554,0,227
555,1,209
556,0,78
557,5,62
558,50,4
559,13,141
560,1,4
561,1,6
562,1,59
563,9,0
564,4,0
565,49,16
566,76,10
567,3,0
568,72,57
569,2,158
570,2,0
571,1,10
572,2,2
573,1,46
574,102,3
575,8,3
576,0,0
577,1,1
578,11,2
579,601,3
580,195,1
581,0,0
582,21,4
583,0,0
584,13,0
585,1,0
586,430,35
587,221,5
588,175,8
589,3,9
590,12,4
591,3,2
592,11,60
593,348,0
594,1,0
595,1,15
596,308,143
597,171,0
598,57,0
599,43,5
600,1364,210
601,5,13
602,24,15
603,0,0
604,93,82
605,1,312
606,1,8
607,2,1219
608,27,76
609,973,4
610,32,30
611,63,0
612,1,3
613,422,12
614,0,7
615,69,2
616,86,0
617,2,1
618,0,0
619,1,0
620,0,14
621,1185,2529
622,9,33
623,1,0
624,937,27
625,0,0
626,0,0
627,1,10
628,18,2
629,0,0
630,39,11
631,0,0
632,1903,911
633,42,8
634,3,0
635,172,9
636,16,14
637,14,0
638,0,1
639,10,239
640,10,2
641,3,56
642,60,1
643,3,0
644,0,9
645,2,1
646,5,0
647,30,4
648,11,13
649,574,16
650,5,2
651,3,0
652,7,32
653,7,51
654,0,9
655,68,34
656,0,198
657,3,4
658,6,1
659,9,138
660,14,3
661,9,0
662,1,15
663,4,124
664,15,535
665,0,14
666,2,4
667,5,67
668,22,5637
669,0,0
670,2,8
671,3,1
672,2,18
673,2,0
674,3,5
675,4,10
676,17,1508
677,13,89
678,32,143
679,52,545
680,40,935
681,105,0
682,0,0
683,0,14
684,2,0
685,41,370
686,4,1
687,250,14
688,12,1
689,46,4
690,1097,81
691,0,1372
692,12,263
693,64,8
694,72,2378
695,100,5783
696,444,4367
697,355,21
698,8,33
699,151,289
700,35,102
701,1,2
702,26,1
703,20,5
704,10,5
705,7,107
706,317,12
707,4,966
708,5,107
709,2,627
710,6,16
711,2,5
712,117,29
713,3786,120
714,194,2
715,0,1
716,118,6
717,0,150
718,44,35
719,2,1
720,1,4
721,146,0
722,182,0
723,1,2
724,5,1
725,0,9
726,0,3
727,1,90
728,7,101
729,3,24
730,4,0
731,1,0
732,11,8
733,5,4
734,14,0
735,35,0
736,68,14
737,1,29
738,0,179
739,4,2
740,3,1
741,0,1
742,0,122
743,2535,3
744,2,1
745,18,1268
746,1,876
747,843,823
748,182,1196
749,0,0
750,5,0
751,0,125
752,551,6
753,1383,1
754,217,0
755,3,142
756,204,23
757,1,1417
758,1,1370
759,414,0
760,10,4803
761,383,390
762,1,19
763,5,0
764,84,0
765,13,2
766,4,0
767,6,71
768,1,0
769,11,255
770,0,3
771,68,0
772,6,0
773,6,390
774,21,685
775,170,2679
776,1142,6964
777,4629,9009
778,2971,18522
779,18,1203
780,18,35
781,62,8
782,3,5
783,11,37
784,7,21
785,1240,8
786,3,1
787,62,0
788,9,0
789,0,0
790,8,4
791,77,27
792,0,0
793,2,4
794,1,3
795,328,0
796,4,2
797,4,4
798,13,122
799,24,8
800,0,12
801,11,17
802,1,7
803,182,8502
804,101,88
805,95,61
806,1118,75
807,0,5
808,10,1
809,1,3
810,5,3
811,22,1
812,0,0
813,8,20
814,8,0
815,29,14
816,14,54
817,26288,8155
818,756,0
819,1,18
820,0,0
821,8,1590
822,14,171
823,8,1
824,32,1
825,0,106
826,8,3
827,11,443
828,10,382
829,0,46
830,3315,327
831,52,4
832,169,302
833,1424,275
834,1335,32
835,1393,0
836,74,3
837,3,1
838,28,9
839,0,85
840,0,19
841,84,137
842,5,4
843,12,1
844,12,142
845,162,1364
846,7,20
847,83,11
848,1,0
849,6,6
850,10,3
851,37,16
852,217,7
853,6,0
854,3,2
855,3,7
856,11,4
857,11,2
858,26,3
859,33,3
860,15,3
861,0,7
862,30,69
863,1,13
864,6,0
865,6,0
866,18,32
867,22,5
868,9,4
869,33,2
870,68,1095
871,3,0
872,0,1617
873,2,1
874,9,0
875,2,5
876,0,6
877,5,81
878,4,67
879,5,67
880,8,2
881,5,17
882,8,35
883,20,2
884,2,33
885,60,6
886,34,0
887,178,9
888,0,0
889,1,0
890,0,17
891,95,56
892,3,2135
893,57,5
894,15,131
895,16,370
896,17,16
897,10,25
898,1,3
899,0,0
900,5,10
901,7,0
902,1,3
903,11,4
904,18,42
905,11,12
906,0,3
907,90,9
908,281,798
909,0,2
910,0,17
911,0,76
912,0,23
913,18,0
914,3,0
915,3,4
916,0,2
917,98,0
918,47,392
919,51,1
920,10,6
921,178,1
922,5,4
923,0,1014
924,99,3
925,41,8
926,6,711
927,599,1740
928,3,3
929,22,0
930,5,1
931,19,3
932,1,0
933,30,0
934,18,2
935,83,83
936,3250,1132
937,207,159
938,0,1
939,17,2
940,279,4
941,2,14
942,309,2857
943,3,0
944,2,329
945,384,1222
946,76,416
947,3,3
948,2,0
949,14,185
950,16,0
951,835,3
952,0,23
953,0,125
954,0,10
955,4,1
956,3,2
957,4,4
958,0,16
959,6,8
960,2,180
961,1,23
962,7,0
963,1,0
964,3,0
965,7,0
966,8,750
967,5,135
968,956,97
969,1992,72
970,1784,3
971,3383,13
972,15,7
973,2,6
974,824,1
975,29,35
976,25,4
977,145,1
978,176,3505
979,1,54
980,173,218
981,38,207
982,3,1
983,47,9
984,0,54
985,6,28
986,21,141
987,0,0
988,151,702
989,79,84
990,8,175
991,418,0
992,1007,0
993,15,11
994,326,477
995,2,7
996,2,798
997,3,871
998,3,931
999,57,26
1000,225,2
1001,9,0
1002,4,2
1003,3,1186
1004,2,0
1005,5,4
1006,144,811
1007,21,264
1008,0,321
1009,23,220
1010,0,2
1011,79,3
1012,0,36
1013,27,26
1014,2,20
1015,8,105
1016,0,0
1017,15,16
1018,9,3
1019,185,54
1020,42,1
1021,37,7
1022,1,12
1023,0,7
1024,72,6
1025,520,33
1026,45,47
1027,320,41
1028,0,7
1029,474,92
1030,0,2
1031,33,4
1032,4,4
1033,4,2
1034,19,82
1035,1187,98
1036,0,42
1037,96,60
1038,10,13
1039,3,11
1040,695,497
1041,1,0
1042,238,0
1043,251,2565
1044,759,3002
1045,237,14
1046,9,0
1047,3,0
1048,166,210
1049,660,196
1050,155,55
1051,553,1
1052,0,119
1053,819,1
1054,21,394
1055,155,71
1056,0,118
1057,0,25
1058,0,2
1059,4,79
1060,6,2
1061,135,13
1062,2,1332
1063,31,9
1064,15,0
1065,183,15
1066,0,0
1067,5,6
1068,0,3
1069,0,0
1070,0,21
1071,4,32
1072,3,0
1073,114,481
1074,1,0
1075,86,17
1076,2,3
1077,75,5862
1078,0,1348
1079,6,10
1080,0,220
1081,0,8
1082,15,3
1083,12,4
1084,4,10
1085,79,13
1086,14,329
1087,0,0
1088,0,0
1089,11,1
1090,4,23
1091,0,0
1092,1,847
1093,1,504
1094,0,1301
1095,0,0
1096,1,4
1097,0,1
1098,3,1
1099,70,231
