,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
0,0,0,0,54,326,705,364,248,33,24,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,70,3,0,0,4,29,63,76,88,183,91,55,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,372,1476,3317,4706,4108,2795,1968,1868,1939,1804,1632,1400,1232,629,129,69,90,204,96,2,31,31,18,25,3,0,4,64,74,73,36,11,0,0,0,4,3,0,13,358,864,0,58,12,0,0,0,0,0,0,0,0,0,0,13,16,27,3,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,105,1013,4046,6213,5562,4748,4068,3305,2744,2630,2116,1308,646,443,433,547,329,60,28,26,1,0,6,0,13,16,65,89,156,166,111,17,0,0,0,0,1,2,36,511,1138,10,3,41,0,0,0,0,0,0,0,0,0,0,1,3,35,30,0,0,0,0,0,0,0
3,0,0,0,0,0,13,301,1292,3155,4179,3765,3510,3296,2680,2086,1775,1188,573,364,290,286,265,209,71,0,0,0,1,0,5,8,14,37,81,161,83,34,1,1,1,0,1,0,51,241,558,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,29,41,6,0,0,0,2,1,0,0
4,0,0,0,0,0,20,390,2156,3552,4445,3674,2939,2924,2842,2574,2351,2025,1430,811,555,439,342,298,256,74,0,1,0,0,13,5,28,45,38,79,34,22,5,0,0,0,0,0,28,213,538,4,0,0,0,0,6,10,4,0,0,0,0,12,60,73,104,127,57,6,0,0,0,0,0,0
5,0,0,0,0,0,0,2,240,1649,2916,3473,3317,3525,3263,2397,1607,1228,948,673,401,363,347,200,20,20,36,26,13,31,73,128,70,49,95,98,44,14,5,0,0,0,0,9,0,0,0,40,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,75,65,12,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,1279,4023,5395,4909,3862,3448,4153,4083,3685,3711,2973,1870,1150,768,537,486,449,292,196,105,36,34,74,34,79,46,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,281,700,751,634,475,412,297,158,137,57,33,35,21,43,47,73,95,75,41,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,8,0,0,70,125,210,77,82,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,131,594,514,314,219,196,155,104,84,59,58,77,70,50,45,35,25,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,90,194,45,174,227,160,59,41,54,60,51,0,2,7,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,1,0,3,0,3,11,8,8,13,10,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,15,0,0,6,21,38,54,4,1,28,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,43,164,627,1294,2539,3659,4532,4145,3199,2557,1420,1037,744,505,380,288,172,33,8,5,8,25,138,159,214,224,149,161,310,866,207,3,0,0,0,0,0,0,0,8,11,0,0,0,0,4,4,0,94,52,172,218,233,209,132,27,6,6,6,9,46,41,5,1,1,6,0,0
12,0,0,0,0,0,0,0,0,0,0,8,65,47,21,12,0,4,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29,25,0,0,0,3,19,101,114,204,267,312,403,435,249,34,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,48,20,2,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,52,566,469,1152,2071,2944,2821,2314,2034,1868,1811,1497,1032,831,549,350,174,109,52,27,30,13,1,0,0,0,0,0,0,0,0,18,30,34,23,6,0,0,0,0,1,3,6,31,295,152,23,0,0,19,16,72,153,132,40,56,28,0,0,0,0,8,0,0,0,0,0,0,0,0
18,0,0,0,0,119,235,313,356,337,324,300,301,277,251,246,199,98,65,66,33,10,6,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,23,30,16,0,0,0,0,0,0,0,0,0,0,5,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,5,4,7,3,0,0,0,4,24,94,44,3,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,87,336,1369,1731,2152,1778,1606,1009,694,637,516,416,280,267,270,229,190,207,190,146,97,44,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,54,98,130,6
23,0,0,0,8,0,73,50,12,32,99,169,140,95,74,59,23,10,7,0,0,0,0,0,0,0,0,0,0,23,77,83,16,24,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,60,86,20
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,32,1,72,116,110,159,166,115,66,43,15,2,3,4,5,4,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,157,709,902,485,427,286,241,112,47,31,31,29,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,123,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
