,afemur,atibia,bfemur,btibia
5008,29769,15156,30636,15487
5009,29604,14425,31599,14590
5010,25445,13463,32056,13697
5011,22219,12507,29832,12476
5012,19122,11148,23910,11068
5013,15282,9833,18644,9692
5014,11051,0,10170,1814
5015,12268,2190,12246,4200
5016,13544,5153,13503,5638
5017,14880,6714,14852,7441
5018,16609,8405,15959,9432
5019,17812,10389,17201,12809
5020,19417,13848,18157,14263
5021,20854,15648,18892,15368
5022,18559,16434,17383,16307
5023,17570,18108,17206,17470
5024,17282,18329,17067,17098
5025,17794,18473,17048,17337
5026,18330,18361,17801,17475
5027,17904,18132,18500,16903
5028,19166,18379,20114,16155
5029,20954,17457,21558,15510
5030,23814,16532,24309,14279
5031,25571,16259,27121,14093
5032,26211,15110,28183,13420
5033,25312,12587,28459,11474
5034,20385,11581,25798,9957
5035,17237,10273,19793,8825
5036,13899,8798,15610,7929
5037,1553,0,7128,0
5038,7383,47,8310,31
5039,9815,1321,10087,2320
5040,11175,3101,11204,4464
5041,11985,4121,11793,5871
5042,13272,5903,12245,6603
5043,13767,6911,12511,7816
5044,14274,8285,12486,8912
5045,13872,9686,12626,10550
5046,13897,10419,14023,11836
5047,14865,11664,14301,13780
5048,16785,13247,15907,15174
5049,17228,14400,16342,16631
5050,17355,15174,16624,17196
5051,17670,15773,17156,17857
5052,17874,16244,20311,18070
5053,20344,16944,21920,18728
5054,22280,17721,23337,18531
5055,24049,17394,24769,18174
5056,25161,16919,25617,17865
5057,25765,15308,25179,15967
5058,25349,13866,23858,14203
5059,19378,12387,17916,12017
5060,4476,705,4039,0
5061,8851,2174,8540,1156
5062,11522,5119,10866,3341
5063,13261,6086,13422,4856
5064,15324,7834,15544,6353
5065,17144,9987,18618,7954
5066,17844,11654,21059,9613
5067,19665,12684,22178,10654
5068,19533,13389,20657,12342
5069,19414,14309,19939,13025
5070,18788,14231,19300,12842
5071,18574,14129,18953,12291
5072,18373,14347,18985,13105
5073,18620,14622,19791,13295
5074,19859,14195,21062,13221
5075,22009,13991,23388,12873
5076,24126,13397,25279,12767
5077,24898,13236,25466,12224
5078,24794,11834,22178,11503
5079,21108,9723,18018,10348
5080,16732,8362,14716,8579
5081,13313,7213,10942,7492
5082,8003,5948,8031,6802
5083,16676,7512,16142,4903
5084,18534,9340,17421,6048
5085,19960,11357,19251,8837
5086,21341,12234,20983,10173
5087,22674,13554,22434,10790
5088,24133,14594,23868,12469
5089,26505,15741,24672,13267
5090,24066,16513,23848,14080
5091,22406,17154,21656,15335
5092,21503,16955,20789,16277
5093,20890,16737,20524,15856
5094,20921,16109,20579,15584
5095,21170,15812,21241,15364
5096,22155,15557,22462,14221
5097,24294,16118,24645,15067
5098,28337,15401,26869,14521
5099,30262,14409,30453,14880
5100,31418,13888,32129,13626
5101,32342,13161,32578,13110
5102,32564,11619,31611,12441
5103,25714,10264,25358,11754
5104,21755,9562,21333,10339
5105,17369,8172,17474,9339
5106,11542,4825,13701,3427
5107,14222,5686,15276,5423
5108,15351,8081,17025,7473
5109,17115,10340,18757,9406
5110,18228,13452,20032,10900
5111,19439,15895,20925,13725
5112,19223,17613,22072,16114
5113,18400,19162,19872,16976
5114,18805,20079,20508,17828
5115,18678,20536,20182,18574
5116,18146,20990,19963,18697
5117,17782,21031,19495,18723
5118,17196,21150,19545,18498
5119,17680,21209,20090,19005
5120,19657,21131,22322,18896
5121,21469,20303,24722,18843
5122,23745,19193,27337,18889
5123,25668,17802,29514,18211
5124,27407,15452,30697,17657
5125,28031,13889,30645,16886
5126,27146,12363,29099,14402
5127,24009,10590,24160,13157
5128,21101,9432,21295,11381
5129,5254,0,4239,0
5130,8700,0,10990,401
5131,11798,0,14004,3435
5132,13515,1949,15276,4776
5133,15752,4550,16911,6459
5134,17380,5721,18202,8686
5135,19659,7439,19823,10165
5136,20743,8577,21202,11916
5137,19721,9848,18791,14702
5138,18460,12307,18066,14645
5139,18076,14506,17274,17122
5140,16804,15214,16835,16554
5141,16124,16088,16971,16835
5142,16388,16536,17593,16946
5143,17412,17423,20284,16828
5144,20602,17657,22498,16654
5145,22436,17643,24242,16208
5146,23488,16696,25519,15607
5147,24033,16527,25328,14707
5148,22395,15745,23341,11985
5149,17973,14468,17650,9845
5150,14259,9919,13734,8563
5151,11113,8735,9108,7298
5152,3802,0,2098,0
5153,6237,0,5587,370
5154,9057,1102,9038,1967
