,areas,phi,rho,seg,name
3,12,231.03491,0.093904175,1,9282257_05_013
0,23,349.12582,0.108593784,1,9282257_05_014
1,11,295.48325,0.049910385,1,9282257_05_014
2,13,266.7665,0.017924372,1,9282257_05_014
0,11,346.6638,0.09892603,1,9282257_05_015
1,10,121.24721,0.09626527,1,9282257_05_015
2,48,243.56097,0.10927905,1,9282257_05_015
3,25,218.21486,0.13551693,1,9282257_05_015
0,156,353.4158,0.077966236,3,9282257_05_015
1,10,83.02002,0.14330249,3,9282257_05_015
0,235,235.62065,0.1432999,1,9282257_05_016
0,207,354.51727,0.0769724,3,9282257_05_016
0,21,352.48273,0.14524956,1,9282257_05_017
0,10,354.20795,0.079448,3,9282257_05_017
1,14,82.41707,0.13318047,3,9282257_05_017
2,13,271.76508,0.11930694,3,9282257_05_017
3,11,249.87938,0.10736063,3,9282257_05_017
0,40,270.14502,0.11974464,3,9282257_05_018
0,11,48.57956,0.1090823,3,9282257_05_019
0,248,241.48141,0.068940096,1,9282257_06_000
1,65,238.51474,0.045695502,1,9282257_06_000
2,154,248.42976,0.11662002,1,9282257_06_000
3,13,219.99934,0.15965804,1,9282257_06_000
4,168,207.88219,0.15644889,1,9282257_06_000
5,27,210.56284,0.16561596,1,9282257_06_000
0,32,31.194881,0.10283498,3,9282257_06_000
1,27,4.3083673,0.07728153,3,9282257_06_000
2,133,4.6248837,0.05971209,3,9282257_06_000
3,213,316.01364,0.08517324,3,9282257_06_000
4,18,290.80658,0.096535616,3,9282257_06_000
0,78,304.24783,0.046380933,1,9282257_06_001
1,1917,243.12602,0.07494026,1,9282257_06_001
2,22,237.69168,0.1581874,1,9282257_06_001
3,39,232.9589,0.15842159,1,9282257_06_001
4,13,228.68916,0.1595267,1,9282257_06_001
5,39,215.43263,0.15708902,1,9282257_06_001
6,195,204.87733,0.152901,1,9282257_06_001
7,94,194.7499,0.14594366,1,9282257_06_001
8,52,185.03474,0.15086323,1,9282257_06_001
0,19,15.8077755,0.0840737,3,9282257_06_001
1,708,331.38644,0.069953606,3,9282257_06_001
2,26,295.7721,0.15711747,3,9282257_06_001
0,1488,240.52559,0.06643101,1,9282257_06_002
1,361,255.86536,0.118004486,1,9282257_06_002
2,20,150.6033,0.11090724,1,9282257_06_002
3,85,234.30702,0.15626368,1,9282257_06_002
4,247,208.09743,0.15452687,1,9282257_06_002
5,15,215.72719,0.16745694,1,9282257_06_002
0,15,39.0515,0.12473111,3,9282257_06_002
1,365,345.51736,0.062074397,3,9282257_06_002
2,48,320.88458,0.095770486,3,9282257_06_002
3,73,309.984,0.09564602,3,9282257_06_002
0,233,288.93616,0.050835762,1,9282257_06_003
1,17,274.70364,0.10094647,1,9282257_06_003
2,868,244.08844,0.08038863,1,9282257_06_003
3,11,261.82242,0.071456835,1,9282257_06_003
4,21,255.59676,0.09826968,1,9282257_06_003
5,75,250.95148,0.117529534,1,9282257_06_003
6,12,244.2803,0.108288,1,9282257_06_003
7,10,226.51704,0.07732471,1,9282257_06_003
8,43,245.25653,0.13579221,1,9282257_06_003
9,64,170.58667,0.0927481,1,9282257_06_003
10,11,233.90402,0.16049503,1,9282257_06_003
11,33,229.25172,0.16053987,1,9282257_06_003
12,25,222.26599,0.1577332,1,9282257_06_003
13,285,209.31671,0.15319428,1,9282257_06_003
14,38,211.68736,0.1666636,1,9282257_06_003
0,320,344.01242,0.062287733,3,9282257_06_003
1,34,318.6753,0.09891476,3,9282257_06_003
2,13,310.48703,0.09162522,3,9282257_06_003
3,35,280.34592,0.12751275,3,9282257_06_003
0,42,269.49295,0.067550704,1,9282257_06_004
1,58,253.15915,0.05553843,1,9282257_06_004
2,56,261.24045,0.09397581,1,9282257_06_004
3,12,254.25719,0.09525532,1,9282257_06_004
4,40,254.0014,0.115970396,1,9282257_06_004
5,14,118.12802,0.096708074,1,9282257_06_004
6,88,243.7292,0.09316335,1,9282257_06_004
7,14,236.40324,0.0706561,1,9282257_06_004
8,265,211.5355,0.15199363,1,9282257_06_004
9,62,176.90126,0.14339267,1,9282257_06_004
10,20,214.01566,0.16731939,1,9282257_06_004
11,11,206.49895,0.16521929,1,9282257_06_004
0,130,298.40833,0.16576342,3,9282257_06_004
1,88,312.30954,0.10447102,3,9282257_06_004
2,129,299.47507,0.1338349,3,9282257_06_004
3,541,333.8887,0.05916779,3,9282257_06_004
4,18,311.69016,0.09204976,3,9282257_06_004
0,62,258.9189,0.07884364,1,9282257_06_005
1,178,252.8414,0.09602935,1,9282257_06_005
2,16,257.27753,0.11206384,1,9282257_06_005
3,10,227.90323,0.15696213,1,9282257_06_005
4,23,219.30322,0.15012045,1,9282257_06_005
5,17,178.05272,0.14096183,1,9282257_06_005
6,15,169.8764,0.14516053,1,9282257_06_005
0,1099,324.51944,0.062227037,3,9282257_06_005
0,87,225.05995,0.14818744,1,9282257_06_006
1,43,217.95059,0.15140375,1,9282257_06_006
2,147,172.20638,0.1416898,1,9282257_06_006
0,29,322.1965,0.10691493,3,9282257_06_006
1,865,319.6195,0.064700246,3,9282257_06_006
0,21,123.515816,0.1164954,1,9282257_06_007
1,36,171.5671,0.14259933,1,9282257_06_007
0,32,323.07968,0.11363512,3,9282257_06_007
1,329,327.87195,0.07810873,3,9282257_06_007
2,10,317.69186,0.1060146,3,9282257_06_007
3,45,310.10712,0.12129473,3,9282257_06_007
4,20,299.45688,0.13116613,3,9282257_06_007
5,13,314.63544,0.054402962,3,9282257_06_007
0,20,324.95795,0.117115185,3,9282257_06_008
1,614,303.58966,0.13425437,3,9282257_06_008
2,83,326.33917,0.09544935,3,9282257_06_008
3,27,284.5934,0.15740006,3,9282257_06_008
0,26,117.012596,0.10273981,1,9282257_06_009
1,25,235.47772,0.13048543,1,9282257_06_009
2,14,195.89658,0.12508951,1,9282257_06_009
0,444,308.76678,0.15233545,3,9282257_06_009
1,40,318.4075,0.11816187,3,9282257_06_009
2,12,321.84653,0.11117784,3,9282257_06_009
3,146,302.56174,0.12305464,3,9282257_06_009
4,13,284.48465,0.159718,3,9282257_06_009
0,17,115.043304,0.097063236,1,9282257_06_010
0,276,315.57748,0.13368784,3,9282257_06_010
1,23,311.1588,0.10217269,3,9282257_06_010
2,73,300.51404,0.12086259,3,9282257_06_010
0,46,115.18886,0.097365946,1,9282257_06_011
1,30,220.28737,0.07298699,1,9282257_06_011
0,10,34.518078,0.09902123,3,9282257_06_011
0,11,289.0757,0.047795095,1,9282257_06_012
1,24,111.89759,0.09803431,1,9282257_06_012
2,15,125.86228,0.106119424,1,9282257_06_012
0,42,108.43594,0.092298605,1,9282257_06_013
1,89,201.29256,0.1020196,1,9282257_06_013
2,10,201.89825,0.08711146,1,9282257_06_013
0,73,106.797455,0.09617997,1,9282257_06_014
1,454,216.08202,0.10466254,1,9282257_06_014
2,11,209.53818,0.08132667,1,9282257_06_014
0,356,236.2466,0.121542946,1,9282257_06_015
1,80,179.18204,0.117435515,1,9282257_06_015
0,23,244.15372,0.12671334,1,9282257_06_016
1,83,236.569,0.13415572,1,9282257_06_016
0,11,62.382637,0.12162481,3,9282257_06_017
1,42,283.51324,0.11128938,3,9282257_06_017
0,224,233.09819,0.16203699,1,9282480_10_001
1,51,224.75175,0.15510386,1,9282480_10_001
2,12,190.32509,0.15062742,1,9282480_10_001
0,37,239.38623,0.16068006,1,9282480_10_002
0,176,342.37195,0.062069457,3,9282480_10_002
0,717,307.44815,0.071383305,3,9282480_10_003
0,676,305.04956,0.07370577,3,9282480_10_004
0,73,309.5956,0.08306045,3,9282480_10_005
0,47,238.00577,0.15745562,1,9282480_10_008
1,20,227.25746,0.14173241,1,9282480_10_008
2,23,217.18967,0.1401116,1,9282480_10_008
0,271,239.54297,0.14409052,1,9282480_10_022
0,41,172.84001,0.12671259,1,9282772_03_000
0,147,190.40698,0.05666335,1,9282772_03_005
0,64,155.78717,0.12948398,1,9282772_03_018
0,37,150.73859,0.12861985,1,9282772_03_019
0,10,242.05803,0.11313903,1,9282888_08_000
1,24,235.81139,0.113329105,1,9282888_08_000
2,477,211.49101,0.14471519,1,9282888_08_000
3,48,196.517,0.12673949,1,9282888_08_000
4,11,235.14577,0.1906967,1,9282888_08_000
0,31,240.47667,0.089432426,1,9282888_08_001
1,32,239.92557,0.13251601,1,9282888_08_001
2,22,235.0355,0.120196864,1,9282888_08_001
3,330,193.3882,0.16257142,1,9282888_08_001
0,19,15.748421,0.012466263,1,9282888_08_002
1,283,178.67967,0.14390966,1,9282888_08_002
0,71,248.4972,0.064325824,1,9282888_08_003
1,36,167.69748,0.14066473,1,9282888_08_003
0,11,135.83073,0.12078237,1,9282888_08_006
0,22,362.82684,0.1216239,1,9282888_08_008
0,21,299.44852,0.09874425,3,9282888_08_008
1,575,263.04147,0.0803338,3,9282888_08_008
2,149,223.87753,0.10651149,3,9282888_08_008
0,12,18.159283,0.23468031,1,9282888_08_009
1,171,12.625813,0.20912996,1,9282888_08_009
2,137,6.581579,0.17127503,1,9282888_08_009
3,73,362.50552,0.12950362,1,9282888_08_009
4,12,58.04729,0.10796737,1,9282888_08_009
5,47,227.05748,0.097292006,1,9282888_08_009
0,402,232.87358,0.1022589,3,9282888_08_009
0,231,6.484201,0.19770606,1,9282888_08_010
1,85,362.1208,0.13393801,1,9282888_08_010
2,33,356.0951,0.08745217,1,9282888_08_010
3,18,345.10583,0.057111345,1,9282888_08_010
0,37,309.1854,0.09042135,3,9282888_08_010
0,37,6.287522,0.2265369,1,9282888_08_011
1,70,5.903986,0.20518297,1,9282888_08_011
2,83,360.9112,0.12529215,1,9282888_08_011
3,19,355.24036,0.08749787,1,9282888_08_011
4,36,345.50443,0.059630506,1,9282888_08_011
0,18,325.8432,0.10442357,3,9282888_08_011
1,15,315.2965,0.10248123,3,9282888_08_011
0,281,359.3737,0.121283345,1,9282888_08_012
1,21,111.64972,0.103397556,1,9282888_08_012
2,14,135.21657,0.12399413,1,9282888_08_012
0,340,241.8774,0.10297827,3,9282888_08_012
1,13,220.86125,0.11549162,3,9282888_08_012
0,73,361.64752,0.16355465,1,9282888_08_013
0,205,360.5271,0.15353078,1,9282888_08_014
1,16,348.44345,0.080640584,1,9282888_08_014
2,377,239.86143,0.12710004,1,9282888_08_014
3,228,221.45006,0.14999868,1,9282888_08_014
4,64,203.76003,0.14015281,1,9282888_08_014
0,34,352.06754,0.07729858,3,9282888_08_014
0,16,362.08682,0.19244212,1,9282888_08_015
1,43,361.27454,0.17157303,1,9282888_08_015
2,15,359.2447,0.1488607,1,9282888_08_015
0,11,361.0698,0.17940387,1,9282888_08_016
1,10,360.78537,0.17187528,1,9282888_08_016
2,60,359.58646,0.15248027,1,9282888_08_016
0,30,46.442142,0.08292472,3,9282888_08_016
1,16,285.57474,0.16551875,3,9282888_08_016
0,23,361.91248,0.18171895,1,9282888_08_017
1,11,359.659,0.1641988,1,9282888_08_017
2,21,358.6936,0.15196043,1,9282888_08_017
3,13,244.31958,0.16230758,1,9282888_08_017
0,274,229.0768,0.14297208,1,9282888_08_022
0,20,290.17227,0.16200125,3,9282888_08_022
0,11,288.92303,0.09398428,1,9283903_08_005
0,34,257.86716,0.07292215,1,9283903_08_007
0,12,226.67052,0.060697343,1,9283903_08_008
0,32,356.96786,0.113828264,3,9283903_08_008
1,69,8.302901,0.10194217,3,9283903_08_008
0,159,207.26956,0.042326298,1,9283903_08_009
0,74,349.36697,0.12100085,3,9283903_08_009
0,358,202.86536,0.038141403,1,9283903_08_010
0,64,348.93106,0.11807259,3,9283903_08_010
0,760,205.384,0.04164849,1,9283903_08_011
0,15,323.39972,0.12902288,3,9283903_08_011
1,28,355.66913,0.09446216,3,9283903_08_011
2,31,302.97232,0.16710858,3,9283903_08_011
3,11,293.2563,0.15604806,3,9283903_08_011
4,26,275.81625,0.0933978,3,9283903_08_011
0,28,2.2513223,0.14190656,1,9283903_08_012
1,1264,204.74393,0.045485046,1,9283903_08_012
2,14,125.4964,0.102074206,1,9283903_08_012
0,864,195.55919,0.04628867,1,9283903_08_013
1,13,219.29034,0.07917586,1,9283903_08_013
2,13,216.49017,0.0993109,1,9283903_08_013
0,14,268.73016,0.098392166,1,9283903_08_014
1,35,254.62042,0.107181184,1,9283903_08_014
2,94,219.32614,0.058529127,1,9283903_08_014
3,146,171.30954,0.05487132,1,9283903_08_014
4,13,223.33467,0.07256665,1,9283903_08_014
5,11,187.07576,0.073014304,1,9283903_08_014
0,17,122.4439,0.11295771,1,9283903_08_016
1,49,132.0239,0.117413014,1,9283903_08_016
0,30,118.922806,0.11433815,1,9283903_08_017
1,142,132.32532,0.11718428,1,9283903_08_017
2,16,228.95297,0.14304835,1,9283903_08_017
0,11,115.206535,0.12346083,1,9283903_08_018
0,23,60.387413,0.096328266,3,9283903_08_021
1,45,52.01263,0.07812613,3,9283903_08_021
2,41,70.59266,0.094144166,3,9283903_08_021
3,11,88.144035,0.0845756,3,9283903_08_021
0,22,315.6459,0.124571025,3,9283903_08_022
0,12,293.28763,0.11145788,3,9284505_01_015
1,41,281.696,0.11414286,3,9284505_01_015
2,15,278.5148,0.13820943,3,9284505_01_015
0,66,267.12595,0.13291958,3,9284505_01_017
0,85,312.17947,0.05898596,3,9284505_01_018
1,37,299.95615,0.076114796,3,9284505_01_018
0,11,326.9126,0.07688097,3,9284505_01_019
1,69,309.8376,0.07574187,3,9284505_01_019
0,25,329.99496,0.07626592,3,9284505_01_020
1,48,321.38605,0.06538221,3,9284505_01_020
0,58,202.42621,0.18130998,1,9284505_01_021
0,15,304.38306,0.09984057,3,9284505_01_021
1,52,296.72775,0.10541995,3,9284505_01_021
0,28,331.4631,0.08034928,3,9284505_01_022
1,35,302.65778,0.096227966,3,9284505_01_022
2,14,313.4987,0.084400974,3,9284505_01_022
0,28,216.87492,0.11692462,1,9284795_00_004
1,30,201.02327,0.14393388,1,9284795_00_004
2,319,169.46059,0.17495006,1,9284795_00_004
3,15,179.28984,0.17329986,1,9284795_00_004
0,102,213.43324,0.052203104,1,9284795_00_005
1,863,175.86566,0.08354475,1,9284795_00_005
2,123,148.85475,0.08364009,1,9284795_00_005
3,13,192.99829,0.08076589,1,9284795_00_005
4,21,222.43489,0.1151558,1,9284795_00_005
5,12,155.19574,0.09355253,1,9284795_00_005
6,93,218.19868,0.123505846,1,9284795_00_005
7,1410,174.75977,0.16400665,1,9284795_00_005
8,14,157.54256,0.15730865,1,9284795_00_005
9,15,188.4843,0.15042904,1,9284795_00_005
0,50,319.54797,0.06953924,3,9284795_00_005
0,1804,190.9424,0.067524925,1,9284795_00_006
1,206,120.77713,0.04162597,1,9284795_00_006
2,20,118.64678,0.07041805,1,9284795_00_006
3,275,147.49783,0.075760774,1,9284795_00_006
4,10,222.04103,0.10199246,1,9284795_00_006
5,30,216.22855,0.10724612,1,9284795_00_006
6,52,167.33957,0.100745775,1,9284795_00_006
7,14,138.83531,0.1294461,1,9284795_00_006
8,23,216.6689,0.12965602,1,9284795_00_006
9,62,146.24603,0.15037309,1,9284795_00_006
10,59,204.81715,0.12987949,1,9284795_00_006
11,11,173.32426,0.11811089,1,9284795_00_006
12,674,180.05922,0.16174227,1,9284795_00_006
13,16,152.61723,0.1834133,1,9284795_00_006
14,14,172.3782,0.16500211,1,9284795_00_006
15,19,172.40501,0.17308293,1,9284795_00_006
0,85,317.6789,0.076053135,3,9284795_00_006
1,11,290.81714,0.15207684,3,9284795_00_006
2,16,306.87012,0.045883946,3,9284795_00_006
3,130,267.62173,0.1084194,3,9284795_00_006
4,31,249.44044,0.053382535,3,9284795_00_006
0,35,112.34724,0.028844448,1,9284795_00_007
1,16,102.01564,0.049480394,1,9284795_00_007
2,15,116.101036,0.05172662,1,9284795_00_007
3,1723,208.18925,0.08002837,1,9284795_00_007
4,18,172.21553,0.074863225,1,9284795_00_007
5,15,128.63194,0.12427205,1,9284795_00_007
6,16,214.84837,0.110678144,1,9284795_00_007
7,10,174.3208,0.09089089,1,9284795_00_007
8,29,217.36467,0.136907,1,9284795_00_007
9,13,181.96658,0.11919115,1,9284795_00_007
10,170,201.68631,0.15394863,1,9284795_00_007
11,48,188.6132,0.16157597,1,9284795_00_007
12,173,170.24799,0.18288583,1,9284795_00_007
0,70,322.22675,0.079062104,3,9284795_00_007
1,80,252.88734,0.12779556,3,9284795_00_007
0,18,221.67632,0.076087765,1,9284795_00_008
1,27,118.81537,0.11776567,1,9284795_00_008
2,12,227.81744,0.08686475,1,9284795_00_008
3,183,228.30305,0.1141584,1,9284795_00_008
4,10,181.90714,0.11942686,1,9284795_00_008
5,88,181.26884,0.18102005,1,9284795_00_008
6,74,162.80183,0.19053479,1,9284795_00_008
0,92,343.70673,0.072237596,3,9284795_00_008
0,10,128.95592,0.03729134,1,9284795_00_009
1,14,141.48648,0.03043013,1,9284795_00_009
2,15,251.81651,0.07956272,1,9284795_00_009
3,143,227.40707,0.082982056,1,9284795_00_009
4,25,114.69522,0.117966436,1,9284795_00_009
5,25,230.98677,0.109948486,1,9284795_00_009
6,10,111.83428,0.18459351,1,9284795_00_009
7,33,213.62213,0.10647673,1,9284795_00_009
8,13,221.17406,0.12368943,1,9284795_00_009
9,33,178.7673,0.18108813,1,9284795_00_009
10,10,167.43556,0.19187075,1,9284795_00_009
0,18,330.7873,0.07664638,3,9284795_00_009
1,27,281.02267,0.18339157,3,9284795_00_009
2,11,136.70886,0.063374296,3,9284795_00_009
0,12,-0.5217315,0.04831735,1,9284795_00_010
1,134,224.78616,0.08085579,1,9284795_00_010
2,173,230.78209,0.11724888,1,9284795_00_010
3,13,212.9995,0.10386766,1,9284795_00_010
4,10,209.183,0.12065199,1,9284795_00_010
5,10,184.75023,0.11596238,1,9284795_00_010
6,333,163.92093,0.17066433,1,9284795_00_010
0,79,340.5426,0.081615716,3,9284795_00_010
1,11,323.82114,0.057777192,3,9284795_00_010
2,10,283.6209,0.17170759,3,9284795_00_010
3,91,279.33908,0.19231726,3,9284795_00_010
4,16,306.22592,0.045482714,3,9284795_00_010
5,34,87.103935,0.03361791,3,9284795_00_010
6,16,137.41685,0.057073586,3,9284795_00_010
0,72,352.0077,0.030691866,1,9284795_00_011
1,405,212.6274,0.114802435,1,9284795_00_011
2,18,126.8273,0.15868604,1,9284795_00_011
3,102,140.07808,0.19135344,1,9284795_00_011
4,58,179.19916,0.14009035,1,9284795_00_011
5,24,185.7318,0.14158213,1,9284795_00_011
6,199,167.09573,0.16771741,1,9284795_00_011
7,17,162.35645,0.18060216,1,9284795_00_011
8,12,159.00006,0.19337964,1,9284795_00_011
0,150,345.15814,0.08356324,3,9284795_00_011
1,61,318.4647,0.064396456,3,9284795_00_011
2,30,283.08612,0.18788911,3,9284795_00_011
3,10,310.4924,0.03998627,3,9284795_00_011
4,16,287.96036,0.04783967,3,9284795_00_011
5,11,101.82105,0.03436137,3,9284795_00_011
0,350,341.39465,0.027607752,1,9284795_00_012
1,41,258.40503,0.027758528,1,9284795_00_012
2,103,210.18483,0.105684355,1,9284795_00_012
3,149,143.39053,0.14509113,1,9284795_00_012
4,293,178.0302,0.15362963,1,9284795_00_012
5,16,193.3152,0.15688747,1,9284795_00_012
6,26,147.19888,0.19618176,1,9284795_00_012
7,35,176.03795,0.18673524,1,9284795_00_012
0,159,322.7876,0.09370879,3,9284795_00_012
1,20,297.7762,0.104870334,3,9284795_00_012
2,38,280.22952,0.19323005,3,9284795_00_012
3,17,306.53564,0.0606539,3,9284795_00_012
4,62,270.03976,0.18558042,3,9284795_00_012
5,23,272.93057,0.2088492,3,9284795_00_012
6,61,255.86433,0.16873299,3,9284795_00_012
7,57,219.45981,0.109368525,3,9284795_00_012
0,482,324.39667,0.02948784,1,9284795_00_013
1,22,250.13661,0.040076505,1,9284795_00_013
2,93,130.33232,0.18237631,1,9284795_00_013
3,197,142.90839,0.15184335,1,9284795_00_013
4,25,144.66565,0.17093575,1,9284795_00_013
5,257,175.2806,0.15942328,1,9284795_00_013
6,32,190.6226,0.1525066,1,9284795_00_013
7,20,163.65547,0.16925377,1,9284795_00_013
8,19,147.25645,0.19481136,1,9284795_00_013
0,25,331.16357,0.104307786,3,9284795_00_013
1,174,287.68143,0.2200976,3,9284795_00_013
2,27,310.7857,0.13598521,3,9284795_00_013
3,1426,43.433033,0.03133826,3,9284795_00_013
4,10,295.52158,0.17376082,3,9284795_00_013
5,12,338.857,0.071346164,3,9284795_00_013
6,10,296.2377,0.09393488,3,9284795_00_013
7,14,273.9372,0.22090466,3,9284795_00_013
8,100,258.01727,0.12251098,3,9284795_00_013
9,56,261.83658,0.1728765,3,9284795_00_013
10,229,228.30907,0.11052301,3,9284795_00_013
0,10,342.51956,0.08414041,1,9284795_00_014
1,174,293.89246,0.02651005,1,9284795_00_014
2,130,141.64389,0.15296352,1,9284795_00_014
3,35,175.57344,0.16486728,1,9284795_00_014
0,25,47.11688,0.20086507,3,9284795_00_014
1,1803,32.978004,0.0607634,3,9284795_00_014
2,31,287.73102,0.22738099,3,9284795_00_014
3,37,243.36487,0.09936229,3,9284795_00_014
4,18,248.05403,0.1158366,3,9284795_00_014
0,315,256.66418,0.025093894,1,9284795_00_015
1,56,204.51765,0.04568432,1,9284795_00_015
2,52,142.03706,0.1736722,1,9284795_00_015
3,20,181.84418,0.14984637,1,9284795_00_015
0,463,35.993595,0.13830586,3,9284795_00_015
1,14,307.97995,0.13772388,3,9284795_00_015
2,69,269.9916,0.14720304,3,9284795_00_015
3,12,265.17468,0.13678281,3,9284795_00_015
0,420,238.5633,0.033726268,1,9284795_00_016
1,58,193.66014,0.11639037,1,9284795_00_016
2,217,143.67596,0.17624275,1,9284795_00_016
3,41,190.45377,0.1417319,1,9284795_00_016
4,40,180.59135,0.15296593,1,9284795_00_016
0,1708,19.106321,0.099323474,3,9284795_00_016
1,25,314.99744,0.16013756,3,9284795_00_016
2,14,320.13452,0.14872104,3,9284795_00_016
3,15,305.20712,0.15968211,3,9284795_00_016
4,285,251.46346,0.12442934,3,9284795_00_016
0,129,240.30283,0.035617705,1,9284795_00_017
1,247,190.86235,0.124471955,1,9284795_00_017
2,16,195.29263,0.1528657,1,9284795_00_017
0,130,41.65458,0.16100195,3,9284795_00_017
1,1364,293.42297,0.07774772,3,9284795_00_017
2,26,317.17307,0.15698436,3,9284795_00_017
3,34,9.84835,0.10935223,3,9284795_00_017
4,41,303.01184,0.1671135,3,9284795_00_017
0,13,97.48154,0.17221718,1,9284795_00_018
1,70,100.02616,0.19535878,1,9284795_00_018
2,13,103.94795,0.19250095,1,9284795_00_018
3,422,197.76819,0.13949917,1,9284795_00_018
0,2395,13.5164995,0.10510287,3,9284795_00_018
1,17,47.716496,0.19859463,3,9284795_00_018
2,393,247.33067,0.11695904,3,9284795_00_018
3,24,221.01453,0.14548536,3,9284795_00_018
0,37,196.1146,0.14455497,1,9284795_00_019
0,438,353.84482,0.139055,3,9284795_00_019
1,19,336.20905,0.15709653,3,9284795_00_019
2,70,24.96508,0.12355115,3,9284795_00_019
3,35,38.535767,0.14482658,3,9284795_00_019
4,381,248.09506,0.11591884,3,9284795_00_019
0,34,304.48544,0.21650772,3,9284795_00_020
1,21,352.81934,0.11537614,3,9284795_00_020
2,11,284.6463,0.10874079,3,9284795_00_020
3,14,278.26532,0.123216785,3,9284795_00_020
0,28,255.91086,0.18427956,1,9284795_00_021
1,22,243.76279,0.20085236,1,9284795_00_021
0,25,323.45718,0.13370053,3,9284795_00_021
1,562,289.56268,0.10947204,3,9284795_00_021
2,79,290.35245,0.25583056,3,9284795_00_021
3,11,288.94427,0.20677604,3,9284795_00_021
4,10,303.43146,0.101396464,3,9284795_00_021
0,254,294.1864,0.09749224,3,9284795_00_022
1,30,284.50287,0.20822793,3,9284795_00_022
0,10,179.73062,0.07260305,1,9284795_03_002
1,243,193.77269,0.09750148,1,9284795_03_002
2,267,176.59741,0.14194028,1,9284795_03_002
0,13,127.93605,0.094134726,1,9284795_03_003
1,44,192.287,0.120126896,1,9284795_03_003
2,23,196.67503,0.15029569,1,9284795_03_003
3,58,195.7826,0.1602052,1,9284795_03_003
4,20,189.08717,0.16615653,1,9284795_03_003
5,231,174.36662,0.17492704,1,9284795_03_003
6,19,184.24556,0.17067553,1,9284795_03_003
0,35,259.85562,0.12311329,3,9284795_03_003
0,1259,188.14195,0.07709158,1,9284795_03_004
1,28,149.89677,0.09145825,1,9284795_03_004
2,44,166.03458,0.11334751,1,9284795_03_004
3,101,151.28525,0.14614867,1,9284795_03_004
4,27,174.2769,0.1205419,1,9284795_03_004
5,266,193.41246,0.16073325,1,9284795_03_004
6,29,165.98135,0.14116265,1,9284795_03_004
7,16,170.78036,0.18419781,1,9284795_03_004
8,10,174.37662,0.18187013,1,9284795_03_004
9,37,163.98445,0.19273573,1,9284795_03_004
0,21,287.67728,0.12990916,3,9284795_03_004
0,48,128.20103,0.052367177,1,9284795_03_005
1,574,181.78914,0.076134846,1,9284795_03_005
2,142,201.65266,0.086224765,1,9284795_03_005
3,73,164.64738,0.10744226,1,9284795_03_005
4,10,201.7654,0.11019015,1,9284795_03_005
5,23,139.74423,0.13286535,1,9284795_03_005
6,15,166.90994,0.12541221,1,9284795_03_005
7,194,199.28279,0.16205578,1,9284795_03_005
8,14,163.95274,0.19799797,1,9284795_03_005
0,27,284.62143,0.1621021,3,9284795_03_005
1,49,299.84576,0.080825984,3,9284795_03_005
0,825,196.88145,0.08225241,1,9284795_03_006
0,21,316.77374,0.060586277,3,9284795_03_006
1,25,339.64078,0.032615565,3,9284795_03_006
2,197,221.29684,0.05675317,3,9284795_03_006
3,48,252.48958,0.116297185,3,9284795_03_006
4,39,255.27122,0.15379922,3,9284795_03_006
5,12,216.91873,0.11405601,3,9284795_03_006
0,39,125.076485,0.12301955,1,9284795_03_007
1,119,222.29062,0.11894584,1,9284795_03_007
0,654,47.170498,0.01903598,3,9284795_03_007
1,10,319.5811,0.06387849,3,9284795_03_007
2,10,267.99915,0.1935635,3,9284795_03_007
3,21,206.91264,0.025879491,3,9284795_03_007
0,28,118.72891,0.11685894,1,9284795_03_008
1,29,163.04395,0.1325421,1,9284795_03_008
2,39,206.76894,0.1481409,1,9284795_03_008
0,11,307.13013,0.07261924,3,9284795_03_008
1,658,247.26802,0.022804683,3,9284795_03_008
2,16,279.1028,0.07853117,3,9284795_03_008
3,73,270.20712,0.20965403,3,9284795_03_008
0,20,228.57796,0.11899876,1,9284795_03_009
1,109,217.0171,0.13624981,1,9284795_03_009
2,20,160.75505,0.1124929,1,9284795_03_009
3,11,164.92827,0.11335587,1,9284795_03_009
4,17,183.58105,0.120898426,1,9284795_03_009
5,28,209.71152,0.14618275,1,9284795_03_009
0,12,317.62488,0.074980386,3,9284795_03_009
1,871,76.71555,0.033792745,3,9284795_03_009
2,634,268.8737,0.08024842,3,9284795_03_009
3,21,267.95544,0.19673538,3,9284795_03_009
4,350,186.05946,0.07979665,3,9284795_03_009
5,32,241.70154,0.16020186,3,9284795_03_009
0,183,212.42198,0.11581986,1,9284795_03_010
1,21,133.75386,0.16584018,1,9284795_03_010
2,61,173.88817,0.12730451,1,9284795_03_010
3,12,150.21631,0.1323465,1,9284795_03_010
4,10,188.13042,0.12825096,1,9284795_03_010
5,20,158.17342,0.13816214,1,9284795_03_010
6,13,178.36407,0.13433477,1,9284795_03_010
0,704,298.11047,0.03936554,3,9284795_03_010
1,11,312.5531,0.08508573,3,9284795_03_010
0,149,140.98026,0.13480599,1,9284795_03_011
1,67,130.67395,0.1665079,1,9284795_03_011
2,128,152.7536,0.14067484,1,9284795_03_011
3,13,165.11565,0.1294136,1,9284795_03_011
0,2898,253.52751,0.07747728,3,9284795_03_011
0,682,143.81787,0.13696165,1,9284795_03_012
1,24,143.85579,0.108169734,1,9284795_03_012
2,29,148.86865,0.108799785,1,9284795_03_012
3,17,154.1395,0.12264646,1,9284795_03_012
