,areas,phi,rho,seg,name
0,20,128.15472,0.17295776,1,9000798_00_012
1,148,153.2161,0.16549455,1,9000798_00_012
0,10,54.942387,0.14156152,3,9000798_00_012
1,19,71.347336,0.14276235,3,9000798_00_012
0,181,152.69987,0.16481686,1,9000798_00_013
0,149,72.154526,0.13997325,3,9000798_00_013
1,16,81.94702,0.16574009,3,9000798_00_013
0,29,155.76949,0.16426313,1,9000798_00_014
0,54,68.33437,0.1338411,3,9000798_00_014
1,84,75.61395,0.1389706,3,9000798_00_014
2,37,77.53524,0.1486716,3,9000798_00_014
0,176,156.54169,0.15033211,1,9000798_00_015
1,54,164.73296,0.14304388,1,9000798_00_015
0,1049,61.332787,0.122808866,3,9000798_00_015
1,37,78.73651,0.10006982,3,9000798_00_015
0,59,339.32327,0.08760929,1,9000798_00_016
1,27,156.03075,0.1501593,1,9000798_00_016
2,29,164.67064,0.14358526,1,9000798_00_016
0,1213,59.302105,0.12367582,3,9000798_00_016
1,22,286.20413,0.13985066,3,9000798_00_016
2,24,84.72083,0.1279449,3,9000798_00_016
0,50,341.34705,0.12045656,1,9000798_00_017
1,11,329.4681,0.07859472,1,9000798_00_017
0,900,56.16796,0.12195184,3,9000798_00_017
1,124,86.127785,0.13958865,3,9000798_00_017
2,17,75.91703,0.11150272,3,9000798_00_017
3,11,82.42788,0.16793029,3,9000798_00_017
0,32,343.68066,0.12650077,1,9000798_00_018
1,36,325.31866,0.08205345,1,9000798_00_018
2,16,176.54315,0.12916997,1,9000798_00_018
0,918,65.1187,0.11072747,3,9000798_00_018
0,12,337.8782,0.14379786,1,9000798_00_019
1,19,333.29913,0.12129451,1,9000798_00_019
2,29,189.38603,0.08892912,1,9000798_00_019
3,372,194.5378,0.11503229,1,9000798_00_019
4,12,177.09079,0.1263856,1,9000798_00_019
0,816,48.685974,0.11368633,3,9000798_00_019
1,15,45.549263,0.084365204,3,9000798_00_019
2,11,81.659256,0.12675874,3,9000798_00_019
0,72,69.66632,0.09258152,1,9000798_00_020
1,22,58.57188,0.07891702,1,9000798_00_020
2,10,72.24596,0.101605915,1,9000798_00_020
3,125,194.22385,0.12206569,1,9000798_00_020
