,0,1,2
300,80501,66382,5252
301,1665,3025,255
302,16229,8154,731
303,46659,30203,4953
304,69662,19884,3703
305,28665,14723,5258
306,14565,8377,1578
307,2300,3683,1191
308,50062,12706,3789
309,1589,1154,1526
310,3641,15245,8124
311,12792,12161,1131
312,73113,24952,1068
313,8626,12006,1397
314,11460,11795,1510
315,4111,11095,2304
316,8367,31591,8891
317,3398,3518,255
318,11247,7442,1496
319,27849,9614,2168
320,4532,9911,4574
321,8931,20513,2781
322,21449,7696,640
323,2920,8699,1571
324,7577,12156,1855
325,17614,21017,9050
326,3038,4011,725
327,11986,9700,403
328,16927,14741,4299
329,14591,30134,1257
330,22770,23245,2572
331,5255,4794,257
332,6659,10560,936
333,6507,6549,72
334,41667,15012,898
335,3747,11515,1147
336,4814,3853,163
337,36713,36760,11286
338,3207,1810,229
339,3503,4771,1318
340,1000,6035,2870
341,1199,8382,6543
342,3623,15072,524
343,11460,16092,1109
344,2815,10425,2489
345,4858,3005,38
346,8686,22258,2145
347,8044,24777,2256
348,11545,23340,2313
349,22440,86057,9522
350,28076,38005,1741
351,3636,16788,478
352,40131,16937,2122
353,15826,27599,5935
354,1410,3370,211
355,7270,11250,422
356,13490,3784,936
357,28357,22568,6138
358,10872,11174,4948
359,3812,13020,1983
360,3971,5530,978
361,13737,4724,2773
362,82729,18967,2528
363,69807,24147,3664
364,119379,30300,5490
365,87581,26407,3813
366,578,2633,842
367,612,2018,926
368,790,2202,1270
369,1366,3063,1006
370,4931,21073,4196
371,18312,9144,1283
372,20747,6084,5407
373,2936,9471,1239
374,695,2465,120
375,6554,6967,1518
376,8502,13182,1699
377,4519,9735,2052
378,26010,39513,7368
379,27263,29991,9406
380,6435,3887,882
381,4228,6750,1176
382,8287,9013,1414
383,5856,18657,4499
384,1403,4876,113
385,23147,9387,1409
386,9834,2955,1383
387,7337,14561,6121
388,44408,15308,2711
389,1533,6362,414
390,20167,16183,659
391,5467,6593,77
392,17301,11559,2245
393,16938,14630,2982
394,29373,12313,1380
395,89361,20916,1798
396,101063,22444,1941
397,14408,17024,1595
398,7777,15126,728
399,14137,4883,992
400,955,6320,78
401,1656,529,212
402,151482,49099,11023
403,4346,9998,2760
404,14216,43825,7583
405,10883,20365,4530
406,31092,37630,7279
407,27024,13408,1020
408,28752,9943,281
409,4753,8268,3229
410,6840,8707,3181
411,1073,6933,1559
412,2959,14318,5660
413,15685,17262,712
414,34398,19360,5211
415,9901,6952,1825
416,22055,6697,3447
417,15147,23127,2220
418,2441,5415,586
419,16372,27468,5095
420,7549,6474,1778
421,4383,6098,1155
422,13877,10467,2060
423,19632,10531,2461
424,1804,6353,1217
425,1221,4084,940
426,2005,10919,150
427,22878,49988,5248
428,8445,9032,1231
429,1355,7230,832
430,590,3663,7428
431,1001,3303,300
432,2550,5727,366
433,1698,8202,539
434,4498,9909,1311
435,0,2518,3
436,899,3140,564
437,37201,32787,2766
438,13544,7385,785
439,4361,6527,855
440,3157,7037,1009
441,29531,45241,1978
442,9130,30599,6702
443,7116,39057,8262
444,10796,20116,1414
445,3708,12982,991
446,16453,11523,1362
447,33387,19745,2569
448,39588,23484,5277
449,4706,6067,52
450,17820,32225,4516
451,6384,8460,2317
452,1190,1742,26
453,4017,2856,75
454,21418,10449,1045
455,28805,11185,2452
456,29099,20453,3361
457,22623,17403,4149
458,2616,6138,751
459,10787,5824,4159
460,3788,5042,356
461,5473,6871,1072
462,3157,7025,1100
463,23420,22189,1053
464,1303,5720,653
465,470,20626,415
466,46115,22592,1570
467,10099,7900,762
468,226,4646,474
469,4108,15609,1987
470,1232,1007,0
471,2499,5093,404
472,3922,6647,421
473,57239,28012,1372
474,18393,9974,3416
475,13724,8067,1216
476,3558,22638,8921
477,1867,6292,105
478,3330,4972,188
479,3456,2667,1071
480,3637,7989,753
481,1111,6876,1244
482,792,9949,2745
483,8551,8395,1108
