,0,1,2
305,1402,4270,236
306,3921,6151,1099
307,3871,3938,463
308,1078,4593,786
309,390,754,7680
310,4661,30808,8515
311,9029,5493,804
312,1611,2828,7921
313,2900,6306,5168
314,4929,5233,3436
315,1747,8005,1643
316,2916,26694,2404
317,2618,2596,521
318,3654,5529,1014
319,4145,4911,711
320,5586,8178,1190
321,9604,33430,9791
322,486,4607,408
323,12826,8221,4686
324,4212,10112,814
325,8602,11935,6161
326,7761,4681,344
327,16790,9469,1364
328,9632,5487,1630
329,22621,12186,1774
330,9855,11600,1843
331,6588,2119,1469
332,1470,7852,665
333,3393,14086,2752
334,2664,5041,761
335,1654,6974,546
336,4298,6336,125
337,3918,10884,683
338,3610,2128,99
339,3003,2889,1782
340,934,4637,1027
341,2188,3843,1217
342,18272,24194,3027
343,2427,14913,1006
344,5371,6333,3074
345,3935,3459,510
346,11561,9321,1548
347,12202,7004,667
348,14003,8677,1993
349,10853,19153,3442
350,29507,56987,2720
351,14334,39200,1207
352,23924,15836,1918
353,7058,11354,1810
354,748,1474,136
355,3609,9780,1382
356,3836,5152,949
357,11276,16996,3998
358,22136,13603,3198
359,4101,5778,449
360,33377,9923,631
361,8967,9346,3067
362,1643,2133,93
363,1115,2870,145
364,1984,4343,242
365,1100,4304,323
366,400,4526,1109
367,955,3046,822
368,777,1422,598
369,516,2640,897
370,6128,14071,2294
371,2035,3022,822
372,4312,8753,4671
373,4408,8549,1907
374,334,1835,2626
375,4638,2772,573
376,2189,8012,773
377,3159,8212,2668
378,7903,18546,3843
379,5401,18540,5788
380,4751,9473,1235
381,4240,14405,1463
382,8078,15125,2843
383,7628,28208,9000
384,2819,4241,284
385,11438,3063,844
386,888,3905,912
387,7490,14669,1827
388,5659,6273,1217
389,2718,4710,942
390,1724,9986,785
391,2881,9356,571
392,11945,7871,1076
393,6745,8393,1066
394,15450,8484,1893
395,8653,3796,922
396,7810,2677,936
397,2087,4111,391
398,1863,3948,573
399,15104,8896,959
400,3173,5829,447
401,1853,1638,373
402,4853,11072,1857
403,1909,4308,920
404,2688,15351,1272
405,2016,9397,1370
406,9506,26252,17901
407,5838,6758,676
408,10403,7508,375
409,10570,12394,2239
410,1351,6550,1555
411,759,6250,2066
412,6768,14387,854
413,4612,1991,1548
414,15508,25607,8442
415,5757,6587,1002
